Date,MSFT
2025-01-02,414.568603515625
2025-01-03,419.29290771484375
2025-01-06,423.7497863769531
2025-01-07,418.3222351074219
2025-01-08,420.49127197265625
2025-01-10,414.9350280761719
2025-01-13,413.1919250488281
2025-01-14,411.6864929199219
2025-01-15,422.22454833984375
2025-01-16,420.5110778808594
2025-01-17,424.91845703125
2025-01-21,424.3935241699219
2025-01-22,441.9239807128906
2025-01-23,442.4289855957031
2025-01-24,439.804443359375
2025-01-27,430.3955078125
2025-01-28,442.9143371582031
2025-01-29,438.0909729003906
2025-01-30,411.01300048828125
2025-01-31,411.08233642578125
2025-02-03,406.9820251464844
2025-02-04,408.4180908203125
2025-02-05,409.3293151855469
2025-02-06,411.8350524902344
2025-02-07,405.8232116699219
2025-02-10,408.26953125
2025-02-11,407.49700927734375
2025-02-12,405.1199951171875
2025-02-13,406.60565185546875
2025-02-14,404.5158386230469
2025-02-18,405.71429443359375
2025-02-19,410.79510498046875
2025-02-20,412.9684753417969
2025-02-21,405.108642578125
2025-02-24,400.9306335449219
2025-02-25,394.8769836425781
2025-02-26,396.6930847167969
2025-02-27,389.5477600097656
2025-02-28,393.973876953125
2025-03-03,385.5384521484375
2025-03-04,385.65753173828125
2025-03-05,397.9732360839844
2025-03-06,393.8746643066406
2025-03-07,390.32183837890625
2025-03-10,377.2717590332031
2025-03-11,377.5595397949219
2025-03-12,380.3581237792969
2025-03-13,375.892333984375
2025-03-14,385.60791015625
2025-03-17,385.74688720703125
2025-03-18,380.606201171875
2025-03-19,384.8735656738281
2025-03-20,383.9010009765625
2025-03-21,388.2874450683594
2025-03-24,390.0935974121094
2025-03-25,392.1578063964844
2025-03-26,387.0072326660156
2025-03-27,387.612548828125
2025-03-28,375.9220886230469
2025-03-31,372.5379943847656
2025-04-01,379.2863464355469
2025-04-02,379.2366943359375
2025-04-03,370.2752990722656
2025-04-04,357.10614013671875
2025-04-07,355.14117431640625
2025-04-08,351.8662414550781
2025-04-09,387.52325439453125
2025-04-10,378.4527282714844
2025-04-11,385.498779296875
2025-04-14,384.8636169433594
2025-04-15,382.7994384765625
2025-04-16,368.78668212890625
2025-04-17,364.9858093261719
2025-04-21,356.3916015625
2025-04-22,364.0330810546875
2025-04-23,371.5456237792969
2025-04-24,384.3575134277344
2025-04-25,388.8729248046875
2025-04-28,388.1882019042969
2025-04-29,391.0462951660156
2025-04-30,392.2570495605469
2025-05-01,422.16802978515625
2025-05-02,431.9729919433594
2025-05-05,432.85626220703125
2025-05-06,430.0179443359375
2025-05-07,430.0576477050781
2025-05-08,434.8410339355469
2025-05-09,435.3967590332031
2025-05-12,445.8468017578125
2025-05-13,445.72772216796875
2025-05-14,449.4988098144531
2025-05-15,450.512939453125
2025-05-16,451.6463317871094
2025-05-19,456.2197570800781
2025-05-20,455.5238342285156
2025-05-21,449.9561767578125
2025-05-22,452.23291015625
2025-05-23,447.5799560546875
2025-05-27,458.0292663574219
2025-05-28,454.7184753417969
2025-05-29,456.0308837890625
2025-05-30,457.7011413574219
2025-06-02,459.3018493652344
2025-06-03,460.2961120605469
2025-06-04,461.19091796875
2025-06-05,464.9788818359375
2025-06-06,467.6632995605469
2025-06-09,470.0196228027344
2025-06-10,468.2001647949219
2025-06-11,469.890380859375
2025-06-12,476.104248046875
2025-06-13,472.21685791015625
2025-06-16,476.3727111816406
2025-06-17,475.279052734375
2025-06-18,477.4663391113281
2025-06-20,474.64276123046875
2025-06-23,483.19305419921875
2025-06-24,487.279296875
2025-06-25,489.4268493652344
2025-06-26,494.57696533203125
2025-06-27,493.0756530761719
2025-06-30,494.53717041015625
2025-07-01,489.2081298828125
2025-07-02,488.253662109375
2025-07-03,495.95892333984375
2025-07-07,494.8454284667969
2025-07-08,493.75177001953125
2025-07-09,500.60198974609375
2025-07-10,498.58367919921875
2025-07-11,500.4130859375
2025-07-14,500.1147766113281
2025-07-15,502.89862060546875
2025-07-16,502.69976806640625
2025-07-17,508.7446594238281
2025-07-18,507.1041564941406
2025-07-21,507.1141357421875
2025-07-22,502.35174560546875
2025-07-23,502.94830322265625
2025-07-24,507.9294128417969
2025-07-25,510.7430419921875
2025-07-28,509.5400390625
2025-07-29,509.609619140625
2025-07-30,510.2757873535156
2025-07-31,530.4187622070312
2025-08-01,521.0829467773438
2025-08-04,532.54638671875
2025-08-05,524.7019653320312
2025-08-06,521.908203125
2025-08-07,517.8319091796875
2025-08-08,519.02490234375
2025-08-11,518.7564697265625
2025-08-12,526.183349609375
2025-08-13,517.5734252929688
2025-08-14,519.46240234375
2025-08-15,517.1657104492188
2025-08-18,514.1134643554688
2025-08-19,506.8257751464844
2025-08-20,502.7991943359375
2025-08-21,502.15185546875
2025-08-22,505.1295166015625
2025-08-25,502.17181396484375
2025-08-26,499.96099853515625
2025-08-27,504.64154052734375
2025-08-28,507.529541015625
2025-08-29,504.59173583984375
2025-09-02,503.0282287597656
2025-09-03,503.2572937011719
2025-09-04,505.866455078125
2025-09-05,492.9501647949219
2025-09-08,496.13690185546875
2025-09-09,496.34600830078125
2025-09-10,498.29791259765625
2025-09-11,498.9352722167969
